ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
8/23/2019,487489.99999999994,SFH,60062,1120,8,3,0,No,3.0,1,2.0,19B
7/24/2020,242924.99999999997,SFH,60002,2186,9,3,0,No,3.0,0,3.0,19A
12/22/2020,334662.5,SFH,60062,1716,6,2,0,No,2.0,0,2.0,19A
6/29/2020,502249.99999999994,Condo,60201,1270,5,2,0,No,2.0,0,1.0,20A
8/30/2018,156149.14062499994,Condo,60077,1008,5,1,1,No,2.0,0,0.0,19A
10/18/2019,351959.375,Townhouse,60077,2200,8,2,1,No,4.0,0,2.0,19A
10/30/2019,577843.75,SFH,60202,2077,7,2,1,No,3.0,0,2.0,Pre1900
4/27/2018,492677.4609374998,SFH,60062,1696,9,2,1,No,4.0,0,2.5,19B
5/18/2018,707517.1406249998,SFH,60062,3431,11,2,2,Yes,4.0,0,2.0,19A
10/21/2019,604109.375,SFH,60025,2800,11,2,1,No,4.0,0,2.0,19A
3/30/2020,358749.99999999994,SFH,60002,3012,7,3,1,Yes,3.0,0,2.5,19A
8/28/2020,182449.99999999997,Townhouse,60002,1487,6,2,1,No,2.0,0,2.0,19A
4/24/2017,226281.6425781249,Condo,60077,1250,5,2,0,No,2.0,0,1.0,19A
5/1/2017,601578.0253906248,SFH,60062,3206,9,2,1,No,4.0,0,2.0,19B
6/27/2017,292510.4160156249,Condo,60077,1000,4,1,0,No,1.0,0,1.0,20A
10/6/2020,363874.99999999994,SFH,60076,1306,9,3,0,Yes,4.0,0,2.0,19A
3/13/2020,1255625.0,SFH,60202,2889,9,4,0,No,4.0,0,1.0,19B
9/17/2020,732874.9999999999,SFH,60025,2834,9,4,0,No,4.0,0,1.0,19B
11/30/2020,549400.0,Townhouse,60025,1700,7,2,1,No,3.0,0,2.0,recent
7/19/2017,204205.3847656249,Condo,60077,1200,5,2,0,No,2.0,0,0.0,19A
